wp_postmeta,4625,vibe_course_passing_percentage,"Passing Percentage",70
wp_postmeta,4625,vibe_course_drip,"Drip Feed",H
wp_postmeta,4625,vibe_course_drip_origin,"Course Starting Time as Drip Feed Origin",S
wp_postmeta,4625,vibe_course_section_drip,"Section Drip Feed",H
wp_postmeta,4625,vibe_course_drip_duration_type,"Drip Duration as Unit Duration",H
wp_postmeta,4625,vibe_course_drip_duration,"Drip Feed Duration (Static)",36
wp_postmeta,4625,vibe_drip_duration_parameter,"Drip Duration parameter",3600
wp_postmeta,4625,ng_course_type,"Course Type",H
wp_postmeta,4625,vibe_course_curriculum,"Course Curriculum",
wp_postmeta,4625,ng_diploma_curriculum,"Diploma Curriculum",
wp_postmeta,4625,vibe_pre_course,"Prerequisite Course",
wp_postmeta,4625,vibe_course_retakes,"Course Retakes",0
wp_postmeta,4625,vibe_forum,"Course Forum",819
wp_postmeta,4625,vibe_group,"Course Group",
wp_postmeta,4625,vibe_course_instructions,"Course specific instructions"," "
wp_postmeta,4625,vibe_course_message,"Course Completion Message"," "
wp_postmeta,4625,vibe_course_details,"Custom Course details","<i class=""fa fa-tasks""></i>15 Credits|<i class=""fa fa-toggle-on""></i>Optional|<i class=""fa fa-language""></i>English|<i class=""fa fa-graduation-cap""></i>Self Study"
wp_postmeta,4625,vibe_take_this_course,"Vibe take this course",
wp_postmeta,4625,vibe_course_free,"Vibe course free",H
wp_postmeta,4625,vibe_partial_free_course,"Vibe partial free course",H
wp_postmeta,4625,vibe_course_apply,"Vibe course apply",S
wp_postmeta,4625,vibe_coming_soon,"Vibe coming soon",S
wp_postmeta,4625,vibe_course_codes,"Vibe course codes"," "
wp_postmeta,4625,vibe_wplms_application_forms,"Vibe wplms application forms",H
wp_postmeta,4625,post_title,"Post title","Human Resource Management"
wp_postmeta,4625,vibe_subscription1,"Vibe subscription1",H
wp_postmeta,4625,vibe_product_duration_parameter,"Vibe product duration parameter",86400
wp_postmeta,4625,ID,ID,1285
wp_postmeta,4625,vibe_title_bg,"Vibe title bg",1284
wp_postmeta,4625,vibe_select_featured,"Vibe select featured",0
wp_postmeta,4625,post_video,"Post video",
wp_postmeta,4625,average,Average,0
wp_postmeta,4625,vibe_product,"Vibe product",4626
wp_postmeta,4625,vibe_pmpro_membership,"Vibe pmpro membership",
wp_postmeta,4625,vibe_course_external_link,"Vibe course external link",
wp_postmeta,4625,vibe_wplms_application_forms_editor,"Vibe wplms application forms editor"," "
wp_postmeta,4625,header_background_image,"Header Background Image",5268
wp_postmeta,4625,_thumbnail_id," thumbnail id",4633
wp_terms,4625,level,Terms,"BTEC Level 5"
wp_terms,4625,course-cat,Terms,"BTEC Level 5,Business Courses,Distance Learning,Online Study"
